"building_name","room_number","abbr","number","reg_number","start_time","end_time","session_start","session_end","is_sunday","is_monday","is_tuesday","is_wednesday","is_thursday","is_friday","is_saturday"
"Baldy","200G","AAS","117SEM","17407","1100","1220","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Talbrt","106","AAS","128SEM","22495","1230","1350","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Bell","138","AAS","314SEM","23696","1400","1520","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Clemen","1004","AAS","497SEM","12567","1610","1850","2022-01-31","2022-05-13","False","False","False","True","False","False","False"
"Clemen","1010","AAS","499TUT","12061","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Clemen","1010","AAS","499TUT","14118","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Clemen","1010","AAS","499TUT","12058","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Clemen","1010","AAS","499TUT","11168","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Clemen","1010","AAS","499TUT","13063","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Clemen","1010","AAS","499TUT","11662","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Clemen","1010","AAS","499TUT","12775","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Clemen","1004","AAS","498SEM","12571","1610","1850","2022-01-31","2022-05-13","False","False","False","True","False","False","False"
"Bell","138","AAS","280LEC","18963","1300","1350","2022-01-31","2022-05-13","False","True","False","True","False","True","False"
"Capen","109","AAS","261LEC","15336","1530","1650","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Baldy","117","AAS","270LEC","18513","1000","1050","2022-01-31","2022-05-13","False","True","False","True","False","True","False"
"Bell","138","AAS","358SEM","20828","1500","1550","2022-01-31","2022-05-13","False","True","False","True","False","True","False"
"Clemen","1004","AAS","460SEM","23679","1610","1850","2022-01-31","2022-05-13","False","False","False","False","True","False","False"
"Alumni","90","AAS","199SEM","22735","1100","1150","2022-01-31","2022-05-13","False","True","False","True","False","True","False"
"Alumni","88","AAS","199SEM","18410","900","950","2022-01-31","2022-05-13","False","True","False","True","False","True","False"
"Clemen","1004","AAS","425SEM","22517","1610","1850","2022-01-31","2022-05-13","False","False","True","False","False","False","False"
"Clemen","04","AAS","414SEM","17947","1100","1150","2022-01-31","2022-05-13","False","True","False","True","False","True","False"
"Park","440","AHI","102LR","14759","900","950","2022-01-31","2022-05-13","False","False","False","False","False","True","False"
"Park","250","AHI","102LR","14690","1100","1150","2022-01-31","2022-05-13","False","False","False","False","False","True","False"
"Talbrt","113","AHI","102LR","14701","1000","1050","2022-01-31","2022-05-13","False","False","False","False","False","True","False"
"Obrian","214","AHI","102LR","14672","1200","1250","2022-01-31","2022-05-13","False","False","False","False","False","True","False"
"Capen","258","AHI","102LR","24679","1000","1050","2022-01-31","2022-05-13","False","False","False","False","False","True","False"
"Park","145","AHI","102LR","24680","900","950","2022-01-31","2022-05-13","False","False","False","False","False","True","False"
"Knox","104","AHI","102LR","10487","1530","1620","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Knox","109","AHI","111LR","18531","1200","1250","2022-01-31","2022-05-13","False","True","False","True","False","False","False"
"Norton","216","AHI","111LR","18571","1200","1250","2022-01-31","2022-05-13","False","False","False","False","False","True","False"
"Norton","214","AHI","111LR","18572","1000","1050","2022-01-31","2022-05-13","False","False","False","False","False","True","False"
"Norton","216","AHI","111LR","18573","1100","1150","2022-01-31","2022-05-13","False","False","False","False","False","True","False"
"Bell","337","AHI","111LR","18574","900","950","2022-01-31","2022-05-13","False","False","False","False","False","True","False"
"Clemen","04","AHI","111LR","24682","900","950","2022-01-31","2022-05-13","False","False","False","False","False","True","False"
"Clemen","17","AHI","111LR","24683","1000","1050","2022-01-31","2022-05-13","False","False","False","False","False","True","False"
"Baldy","200G","AHI","363LEC","19120","1230","1350","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Cooke","127A","AHI","380LEC","22637","1700","1820","2022-01-31","2022-05-13","False","True","False","True","False","False","False"
"Alumni","97","AHI","395LEC","18278","1230","1350","2022-01-31","2022-05-13","False","True","False","True","False","False","False"
"Nsc","201","AHI","204LEC","17103","1600","1720","2022-01-31","2022-05-13","False","True","False","True","False","False","False"
"Clemen","107","AHI","470SEM","23644","930","1210","2022-01-31","2022-05-13","False","False","True","False","False","False","False"
"Talbrt","111","AMS","102LEC","19915","1500","1550","2022-01-31","2022-05-13","False","True","False","True","False","True","False"
"Clemen","204","AMS","107LEC","20980","1100","1150","2022-01-31","2022-05-13","False","True","False","True","False","True","False"
"Norton","213","AMS","179SEM","23930","1230","1350","2022-01-31","2022-05-13","False","True","False","True","False","False","False"
"Baldy","200G","AMS","111SEM","20081","1100","1220","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Talbrt","112","AMS","144LEC","24531","1400","1520","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Arr","Arr","AMS","499TUT","13855","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Arr","Arr","AMS","499TUT","10883","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Arr","Arr","AMS","499TUT","11900","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Arr","Arr","AMS","499TUT","10762","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Arr","Arr","AMS","499TUT","12035","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Arr","Arr","AMS","499TUT","13075","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Cooke","114","AMS","301SEM","24168","1230","1350","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Clemen","06","AMS","325SEM","22348","1400","1520","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Baldy","111","AMS","197SEM","19910","1610","1850","2022-01-31","2022-05-13","False","False","False","False","True","False","False"
"Clemen","19","APY","107LEC","17414","1530","1650","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Hoch","114","APY","108LEC","17415","1300","1350","2022-01-31","2022-05-13","False","True","False","True","False","True","False"
"Norton","112","APY","106LEC","17469","1000","1050","2022-01-31","2022-05-13","False","True","False","True","False","True","False"
"Academ","351","APY","312LEC","21851","1100","1220","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Talbrt","106","APY","347LEC","23615","1400","1520","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Capen","108","APY","321SEM","22051","1230","1350","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Academ","351","APY","321SEM","23714","1000","1050","2022-01-31","2022-05-13","False","True","False","True","False","True","False"
"Academ","170","APY","345LEC","19673","1600","1840","2022-01-31","2022-05-13","False","True","False","False","False","False","False"
"Spaulding","155","APY","346LAB","17432","900","1250","2022-01-31","2022-05-13","False","True","False","False","False","False","False"
"Spaulding","155","APY","346LAB","17433","1300","1650","2022-01-31","2022-05-13","False","False","True","False","False","False","False"
"Spaulding","155","APY","346LAB","17434","1300","1650","2022-01-31","2022-05-13","False","False","False","True","False","False","False"
"Spaulding","155","APY","346LAB","17435","1300","1650","2022-01-31","2022-05-13","False","False","False","False","True","False","False"
"Spaulding","155","APY","346LAB","23614","1400","1750","2022-01-31","2022-05-13","False","False","False","False","False","True","False"
"Norton","214","APY","215LEC","23665","930","1050","2022-01-31","2022-05-13","False","False","True","False","True","False","False"
"Spaulding","155","APY","495SEM","17427","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Academ","170","APY","275LEC","20720","900","950","2022-01-31","2022-05-13","False","True","False","True","False","True","False"
"Arr","Arr","APY","496TUT","10991","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Arr","Arr","APY","496TUT","10992","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Talbrt","112","APY","356SEM","19792","1600","1840","2022-01-31","2022-05-13","False","False","False","True","False","False","False"
"Arr","Arr","APY","499TUT","20577","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Arr","Arr","APY","499TUT","10854","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Arr","Arr","APY","499TUT","11559","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Arr","Arr","APY","499TUT","15195","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
"Arr","Arr","APY","499TUT","16622","0","0","2022-01-31","2022-05-13","False","False","False","False","False","False","False"
